tx_hash_prefix,tx_hash,fee,energy_usage,energy_fee,origin_energy_usage,energy_usage_total,net_usage,net_fee,result,energy_penalty_total,partition
d29f4,92d29f463b94013e26298239e921e88cf8a978e1fd58a35acdf4cabdd1ae9207,12761040,0,12416040,2333,31895,0,345000,1,345000,500
a6ddd,eca6ddd9c9cf5c7ea524233390ca6a980933b17a76604cf3052e7c01ecc66851,0,0,0,0,0,268,0,0,0,500
7f80e,ae7f80ef88f1cf04fbf91a78a81ba194679d3ec3ae569c697ade3f2646fe5658,0,0,0,0,0,265,0,0,0,500
84867,5884867472b5e0c71ddcb63e53f8548ab8614350b425081fa8a52f612e9e7ce1,0,0,0,0,0,283,0,0,0,500
9fbfb,779fbfb6c6206cff29f0aa8f436380052d39d47051ad0ab0d2cf1254a744b7bd,0,0,0,0,0,269,0,0,0,500
e03b8,a2e03b856bf08a0fb44d8f7b7fae0bb85f75694949e9c83a735603b02f5f3a1b,13395900,0,13395900,0,31895,345,0,1,0,500
0f16a,520f16a597144c83a104a424a8cf5b8a6e22d4721d5b27ff62ccb7c0494cb9aa,0,0,0,0,0,265,0,0,0,500
427c6,1a427c6b12cc948018bf9eda9666a641b3d40c78dd644846d8f7b29ffc5abec1,0,0,0,0,0,265,0,0,0,500
359a6,bb359a627a848c0dac861f89193a712b9fd8d9772a879079ebb103f5510f64d5,0,0,0,0,0,265,0,0,0,500
15454,e915454e6de8c557055b3d293e3959e082eccc21dcf326c71b7990aaf7083abc,0,0,0,0,0,265,0,0,0,500
83550,4683550108ae2f65838ed779e34f97b01da8821a8278f603aefaa91b84e34fc4,0,0,0,0,0,265,0,0,0,500
6e2e1,e56e2e15bf538cae28235143f1f04e68aae346ffc2ba484d6279a783961a4306,0,32838,0,0,32838,280,0,1,0,500
888a3,56888a336e2e0c64bba8e430715b41b74e1037dab420aebbffd3e2e3f526ecb7,13395900,0,13395900,0,31895,345,0,1,0,500
f0d2c,cdf0d2ca3f023832b2ed50682ceeed8929cc0055e6e907844b2448552e11f20b,0,0,0,0,0,274,0,0,0,500
981e7,90981e71a4ebe5817b26856cbf51ef13c4a0d5ecdde460b9fd2e8ed208728958,0,0,0,0,0,280,0,0,0,500
cb6be,c3cb6bed3d46b8230a969ac94853c34e45a60c86b8a430155566ba9c9a1318e8,0,0,0,0,0,268,0,0,0,500
d3fcc,f0d3fccae4edb2d4cde1bd4953b222d693f49b1fa6b7d93ab5e8eb615b5faebb,0,31895,0,0,31895,345,0,1,0,500
54c51,da54c51fed8a233c526bfbb8ff4bdc3f7cd80fbc55fff80299a971719f709a3d,0,0,0,0,0,265,0,0,0,500
d1bf1,89d1bf14a6aa8aba6c11e0647e9239d003be390015945fb85c10e263f0116d22,0,0,0,0,0,265,0,0,0,500
90381,c990381cad8ec58bc1acf309689c365f817e063f1db1f377ec63ed5184e301f0,0,0,0,0,0,265,0,0,0,500
ffe42,99ffe4240718ee28c253a008e913f9743e00ee49a8730d013aff7ebd983209dd,0,0,0,0,0,265,0,0,0,500
4d1ee,a24d1ee2df5544f9ec9fa40f17fbdc3c091cbb38d297ac5bf6e29e62aca338ac,0,0,0,0,0,265,0,0,0,500
1f71f,e51f71f6c7a2a9a78d19037ba227d6b0f880506915201381ab7e342ece65a077,0,0,0,0,0,268,0,0,0,500
ed415,9ced4151098ae8e2142e893b5a30a1ef017c712c808078ac0372d640adec6047,0,0,0,0,0,265,0,0,0,500
8479c,638479cdf969aa4973864a7afbaecc020d054d291ae8a113b17092626af1be43,0,0,0,0,0,283,0,0,0,500
82b27,2b82b27cb687ef58fa9a1469e67f78bc57067d68a0c63fdc12f397a3dc112d3d,0,0,0,0,0,257,0,0,0,500
9fc55,3d9fc55d52789d1e4762e1ee94d76b89c551141a66118ff1427b689fc3e07624,0,0,0,0,0,275,0,0,0,500
b5eae,e6b5eae84cb69c7d4a9d11c8f2f1175824beb5e9675d083143ffcd7f7e8f2259,0,0,0,0,0,280,0,0,0,500
ee9f2,9fee9f22c1d63f0cdede3807fb386d38bab2d482aafabff376548d0a1c53e275,0,0,0,0,0,265,0,0,0,500
79e77,9979e778d6ac5654736c52285e1940ebdd592e06fedc2a68c3e0ae029bc71d83,0,0,0,0,0,265,0,0,0,500
c3c4c,0fc3c4c3fa9d9f2e9dca39f70950c6eff0265d27b364e66cb0baaa5c7595cb93,27255900,0,27255900,0,64895,345,0,1,0,500
97081,9a97081e9562f98f10f2a34595dfe0e891b40e6ad955d7dcaae51821c9d8c8cf,13740900,0,13395900,0,31895,0,345000,1,345000,500
b2392,ffb239290f9ac79b58110d0c9e720a97dd7e22b0d6d5ca93a9b657a8377249fc,0,0,0,0,0,265,0,0,0,500
7dd1f,b47dd1fdbe1524f05bbcb164adbea59a25a2c26717fc71e31f0d6dd511f20b38,0,0,0,0,0,265,0,0,0,500
81595,5681595c0d0ea38cb950d098b65b4079455897c719fd9afdf384ffcbd74725bb,0,0,0,0,0,265,0,0,0,500
30e8a,a330e8adefb8bf8a0371b0696b71138a6053dc7f0e4bb0fc35b7b1c37e4e54a1,271000,0,0,0,0,0,271000,0,271000,500
bf433,eabf433a3eef6f4df6b9abb5fb54528dae53fb6b70d0b6f8fde185fe66dcc3df,1000000,0,0,0,0,274,0,0,0,500
cf2fb,3ccf2fb489463b072a88ebefed7f1cc5b24cf2ea7816ba80441dce4892d15857,0,0,0,0,0,265,0,0,0,500
2e7b2,372e7b220257641cda2bc6f2a506331a1a934b7618f656ea41e6de6a790b759f,0,0,0,0,0,280,0,0,0,500
4664f,1d4664ffc6bfb70ace3d82fef46406b7856fb45a02f4d599de0b8cfcc6010342,2100000,0,0,0,0,0,100000,0,100000,500
3904c,343904cf7fbb5d49415a0f70c469058e41514406e2da429cbcea6cf722a6b42a,0,0,0,0,0,276,0,0,0,500
c214a,40c214ade1a4fbe24490540329d1e601cfee7b1b98f059768b5700a449e27e75,0,0,0,0,0,265,0,0,0,500
d67c4,57d67c43e8b572ad6460c0f7967c6f382cef3dda12b90721e0a1c091b402571e,0,0,0,0,0,283,0,0,0,500
e2d4e,c2e2d4ece83061a1c8d8fba1af15def5cd69737433bb6f5d930af8bec2356e30,0,64895,0,0,64895,345,0,1,0,500
6c059,7f6c059ba26a01e9d6d3fc8254ac0785fe8eff0d0aa6811e7d05622e22617369,269000,0,0,0,0,0,269000,0,269000,500
fa0bf,71fa0bf021776a283bb735b7743893f0ce965541064c9edb4d6945edd1c065fa,268000,0,0,0,0,0,268000,0,268000,500
26ec7,be26ec7080e15cdf261a7340ad0f83200f703d474ff748beb6a5d33fac5e5f6e,0,0,0,0,0,265,0,0,0,500
feb39,cdfeb39cad0c461a121ba6e898152cc3f00c2b9906ff4c21a3d6d4e59f38cdfc,0,0,0,0,0,275,0,0,0,500
937e6,1c937e663be71c499cb33eec058a6185c964360dde5111a97d828a5523454128,0,0,0,0,0,265,0,0,0,500
2db61,992db61e6ecea2a818f8e62a13c8c4ebd1d7364e4ab5278020f6caad05678c28,0,31895,0,0,31895,345,0,1,0,500
4f4de,5f4f4de26102ad4c99688c36684ea6813ae8d62b1b92b096b5176212431a473c,13740900,0,13395900,0,31895,0,345000,1,345000,500
390b8,89390b825e32f83ee55df4153e8ae518d74c0fd0ce43d2321cee47a25f772283,13740900,0,13395900,0,31895,0,345000,1,345000,500
31ebf,ac31ebf6b77ecb6e172ee87ceb7aec0576a85d3a537acada994e37fe766a5bb5,0,64895,0,0,64895,345,0,1,0,500
68b92,af68b9231fc236b29152cca1c2449e55a61da0afa50b14c554637da09c7afd03,0,0,0,0,0,265,0,0,0,500
22375,3122375bf3a9e5a7b20143da3b8a243b9301eb7c84379bfe4505d9019b07b10b,0,0,0,0,0,265,0,0,0,500
a7035,b1a7035f58ed30178427255e55b1d143fa4796756eb24ca7babb10602e9c8215,13395900,0,13395900,0,31895,345,0,1,0,500
c4a15,6dc4a155ccc39f91d4bd93b1f44afde346748da5091f3de2a134138559ed9a4f,0,0,0,0,0,268,0,0,0,500
be61a,7dbe61aacb72e3c98f12a69b3396ccbc0dcfdcb3595e22b7e909afaa42c0c0f4,0,0,0,0,0,283,0,0,0,500
a773a,04a773a26273f138036bda1da047bd35802029a9b4e7c3dea39e93bc1b09b004,345000,31895,0,0,31895,0,345000,1,345000,500
a9177,c5a917711d50af709dd713c288bfd540d0bc8d4ceca43bd6ee05b6c78ecddc9c,0,0,0,0,0,265,0,0,0,500
3654b,3e3654bb27f8222a66d67227f8d878cfc93887801c363e064c1131d8417678f9,0,0,0,0,0,265,0,0,0,500
e1abc,3ee1abcd0c4ce90c7cf82e9b3864508a4332f0d15929e6d8990fc64281f25468,0,0,0,0,0,265,0,0,0,500
76d32,f576d328c505fb1fc0893dcc18e889a5a212115fe79ea7faf6764db872364bb9,0,0,0,0,0,265,0,0,0,500
fc559,5bfc55912dc95cf27096556c76f05be24bdc81261aea3a162c939d0e6ef2118c,0,0,0,0,0,265,0,0,0,500
197bd,18197bd2864ef1ac37287d12250cfb6bc7a738127970f285371311cc8f9567b0,378000,44228,0,0,44228,0,378000,1,378000,500
b3b98,cab3b983bef1c3447c3040f92511f88b5d555a2671dc74a03c5f24efaf85e509,0,0,0,0,0,265,0,0,0,500
9fc74,e29fc74c4e946b7cae594ac82ccf785c37e94586e7f743e8d2df8862ffb5680c,0,64895,0,0,64895,345,0,1,0,500
58a1f,f458a1facefd0bfc772a13674fd157dc437f9480b3b53126b19f5b97d39a6598,268000,0,0,0,0,0,268000,0,268000,500
490c2,03490c2ecfea54a29534938d36176c59a9f3812b688750420b4ed2f10487151c,0,0,0,0,0,265,0,0,0,500
d25f0,9cd25f041bb566ad1d78587b4dab3aa1bbff4c5dc17d6ec6f9e889332253e3a6,0,0,0,0,0,265,0,0,0,500
970a3,8a970a3d2f731c947488abdee35b2a7fdec4543a61b2d882bf3ff417c1269f66,0,0,0,0,0,265,0,0,0,500
f3ff1,c0f3ff1d7e0c5f38ae38d264da5f3cc11e1d42a58a978f2e7a17383f2d0ec4ef,0,0,0,0,0,265,0,0,0,500
d5695,61d56959b5ba8533f98f6d4bcd9066a87aed25b8f6ba97524d83ad9a550c43d1,0,0,0,0,0,265,0,0,0,500
f8090,d7f8090b9698f9566df5a8e4927403350206e96b565dc9bf0f817219f50c2632,0,0,0,0,0,265,0,0,0,500
68a17,7f68a1763158e3eab8a43611a58b6ec5dc6cf5a0ca766a54e6b82a26ee69c2ed,0,0,0,0,0,268,0,0,0,500
739c5,25739c548903501201c87e82a8b60f200ba717202a269dbb6760cd23b296c619,0,31895,0,0,31895,345,0,1,0,500
6e46b,fa6e46b934c672d27ce9586c8a6e3be3dbbd55c58097f346160dcba5cffbe00a,0,0,0,0,0,268,0,0,0,500
47993,c947993671baf6231b70faf44d4c674f22ed658d465ee862dde6267be6509b1f,0,0,0,0,0,268,0,0,0,500
cc027,59cc02792dfd5ffcf4882aaaf7b60ea66d298c37798740811eff708fe4442d40,0,0,0,0,0,268,0,0,0,500
c6493,6cc649379388cce9526ec7467c2595bce5002dc7c36c0d516176413958652ddb,0,0,0,0,0,265,0,0,0,500
fac90,84fac90c7badd7805603924dcbc8bccff3c9bf48b264e802f160aad312fff407,0,0,0,0,0,265,0,0,0,500
9144c,f59144c8bbb366e4001379f34254ff3786c27c983bb216d03ff2ceac3d129a01,0,0,0,0,0,265,0,0,0,500
0a0ad,850a0adfbdc2f26501e7e57a5b57595540818e9658d6b9efbee57c1fcbd40ab4,0,0,0,0,0,265,0,0,0,500
1f6e2,461f6e2e3ad959b551b7419fbb58c6bd2e096432eae4e75984ca61b07ef165aa,0,0,0,0,0,265,0,0,0,500
83f51,4783f514854cd4b333777e3cab69d56b6b4ecbec46a1ead5b6bb83db519efa5c,0,0,0,0,0,265,0,0,0,500
d18bd,65d18bda7ea643e06c154150c7c62b434c2234b66eb4cadcbaf339e1bf8b042f,0,0,0,0,0,265,0,0,0,500
703d4,ba703d47080f79d5ac880d169c856bc0f0870e8590fbb6a9074a49fbf33fd8e8,0,0,0,0,0,265,0,0,0,500
059ff,01059ff2ee9b626e0debfb39b462fd8030ebe88a35dde3d58eab2caf10d18d78,267000,0,0,0,0,0,267000,0,267000,500
e09db,dfe09db1a92a3a1380a94b2e705756e0a3601e06c39e63d0072f1f598033e21f,1000000,0,0,0,0,269,0,0,0,500
fdbe9,e8fdbe9907d3e745c0827a1e5346b8859e1b0b06c136c0aca3202f0689b591c9,0,0,0,0,0,265,0,0,0,500
8c33b,928c33bfe40c2d519a4d4267a033dcf5dd97ad55838b244580463b89be221ff3,0,0,0,0,0,265,0,0,0,500
bb26c,8abb26cdffd409795aa3cce559d2e1160e6e8fed66487f889a488b124994d42c,0,0,0,0,0,265,0,0,0,500
bbd60,c5bbd60a90fc14573d7ca3e7c1ff7d443206f58fceac0463aecb36a04948a45a,0,0,0,0,0,265,0,0,0,500
cd083,54cd083168b6de2efb82a7c417a859d6d2d85217cec16ce5f94aa362af4cb956,0,0,0,0,0,265,0,0,0,500
5a2d6,cb5a2d6a103edb386af2abfa64bb0325088fef8e235b6468fdee248f2803b7a6,0,0,0,0,0,265,0,0,0,500
7c547,507c54708adb2f8b0e3ef7bffa2fe68c6df36125a886fbe1993c07ac01c357a2,0,0,0,0,0,265,0,0,0,500
b5c76,55b5c7625b0b1beb458bc9672d813101560c1b3466792441ab80fdb5e89aef2d,0,0,0,0,0,265,0,0,0,500
cb0d9,95cb0d92c0b9a5697d3c56df81be04d7f6ac138bb72fcbfb57da3db6294ca636,13395900,0,13395900,0,31895,345,0,1,0,500
0b927,f90b927945939fc0ed0a765a2d70f7f1f3ed879009c32fe286814f16965a9c2e,0,0,0,0,0,265,0,0,0,500
5619e,665619e2c68859196eeab35755569055f0f4a76989ff5119ba90880767231b0a,0,0,0,0,0,265,0,0,0,500
5086e,c15086e8695429fc0fda31c7ede6f1a44bd7595a03f4de9ea31f52a32308af88,0,0,0,0,0,265,0,0,0,500
63de8,db63de85469c2dd5d93a0b0c975ade515f0a3f7c198164855ff7804efc92ae91,0,0,0,0,0,265,0,0,0,500
6753f,926753f1e1b042ffd19bb1887dd83540b3f7c71bf2df9c4783544f9d925138e1,0,0,0,0,0,265,0,0,0,500
8bc54,538bc5424043b987c03a6f1ee202b2a0647bc14302dc53683bf15fe974fbc647,345000,31895,0,0,31895,0,345000,1,345000,500
467e2,9e467e23539cb2eb1ae00e821ee0711abfae29c3ae48bdcf8fd041062edfdd6f,0,0,0,0,0,265,0,0,0,500
e34fa,cde34fab367457e522e43881ca9759070fd5c90cb876bf95f40966a734c3a937,273000,0,0,0,0,0,273000,0,273000,500
080c4,b4080c4af5b5f066aef78b22b056e7c36b1927c3e1d3e02b892647012adb3a12,0,0,0,0,0,268,0,0,0,500
c8942,41c894296985d3ed58722f7ec279b2fa9ac19b75a99efcbd8cb100379306a91f,0,0,0,0,0,265,0,0,0,500
3da59,623da5928d2839a0241f78477c75b6e1403ebcbd11b01d93cf505799976715db,0,0,0,0,0,265,0,0,0,500
325e8,3a325e846943817053281488f6c80c331fffeb64d032ab6019fda918eb1f3de9,0,0,0,0,0,265,0,0,0,500
e66f8,4ce66f8483ed855a20ad57a87ffb0ddd515b033f141c829c35e9bd76038a10cc,0,0,0,0,0,265,0,0,0,500
4e359,b64e359aab9744fc3808e0bd0cc2c40ebd74623d5110abbb10e930af2713e130,97020,31664,97020,0,31895,345,0,1,0,500
e5cbb,ffe5cbb4b82d6169e336953df686c090b808409245124204d6973878df4b67e9,0,31895,0,0,31895,345,0,1,0,500
b3d19,bab3d19bfa7705045922b4babf69888f3ff09864238c34b5f82420b246b0d1f1,0,0,0,0,0,265,0,0,0,500
58ffa,5b58ffab98496b277ce8268c07e9e17af308f9f48424f5a6a8caa09d8a4b5cfa,7702140,14378,7357140,0,31895,0,345000,1,345000,500
efb59,73efb5981aa4adec5b049bcdc6dd08a56b56d930c81533d81cb308b4ac8cb5d0,7154880,48681,6809880,0,64895,0,345000,1,345000,500
e35ef,99e35efb0aca064a0ca6a9dd1aeae4e1b12f0eacc0bb09b8dc9a91ffb57c9c3c,378000,0,0,2264,2264,0,378000,1,378000,500
ccf04,1dccf040e905d16130d1da5b3fa40b016256076048ae341c74879c6d5ba4d129,0,31895,0,0,31895,345,0,1,0,500
2acb2,f92acb2f8493e4a868f2a4e635f5d0cb97e672a0d3508889317b8b5ec45d6510,5665380,0,5665380,0,13489,345,0,1,0,500
3116b,273116bc6a65ef731194913342609ba023dfea7eae65d7968495d8211470a25e,0,31895,0,0,31895,345,0,1,0,500
946ea,af946ea43f829b4f5daf727584aaa9c3b45d1f14df1e7809076b64f3c79a2f6d,13395900,0,13395900,0,31895,345,0,1,0,500
46174,ec46174f3785c8638e08da5730283b3da92efae4440166e8e63020f3fff13803,13395900,0,13395900,0,31895,345,0,1,0,500
6a12f,7a6a12f067fe8ebe9779cc9e7271cfe5ec73005ea8474057c9dd6f9aed232faa,0,64895,0,0,64895,345,0,1,0,500
8299b,b78299bd97827d49b3d5709a65617f7a6f9bb8326cdbd0c840d9e9c45819e573,0,0,0,0,0,283,0,0,0,500
0f906,150f90614813e02e5f2bc34bff3db63d9bb729d1e9e2e99583863c9b7977fff0,0,0,0,0,0,265,0,0,0,500
c9750,05c975008ae776beebc541c68102fffff9c27a54138685b9b628b8269cc40886,0,0,0,0,0,265,0,0,0,500
2d8c3,5c2d8c3028f603935841a3583fb165020dbcf769b19f4f780898d31dfc0fcade,0,0,0,0,0,265,0,0,0,500
a37bc,14a37bc7091155debb8481a488bf1db8845e708fefefa575c46711a25eee21cb,0,0,0,0,0,265,0,0,0,500
88423,78884233ef5749abace66b2e913bfe8ae6b97f0c1271fa7494cd768cb590fe6b,0,0,0,0,0,265,0,0,0,500
52a7e,9b52a7e65d479255b78e97d220c7f5834a1eb6de922579704678210a31d5ba8f,13740900,0,13395900,0,31895,0,345000,1,345000,500
8df89,308df8991fe74081adbfe818ba49c68a41e723bf82bf206523c559b221e50f78,27600900,0,27255900,0,64895,0,345000,1,345000,500
9a5c8,c49a5c8c781abb5a87158f31c22a54c489cc9e61093d34aee584d79848ae17df,271000,0,0,0,0,0,271000,0,271000,500
7c164,a87c16434fddff592eda865d0e774eda18f396e5fda97468bee4d2dec9d207a9,13395900,0,13395900,0,31895,345,0,1,0,500
e15ea,50e15ea7fff5b552da912460d76c674a23eda816eacc0bcf1011d5afebd12907,0,0,0,0,0,265,0,0,0,500
2f28a,e32f28a5d46e4ad7b3a668e2d61bc90bdccf011f94f5e93ad744945fc7f52f52,0,0,0,0,0,265,0,0,0,500
c3789,59c3789ac34668d44261e539c3ca26c81b3653504455d1c77a88294ca20daab9,0,0,0,0,0,265,0,0,0,500
07253,1907253339efc61fe88a4572a6162affa64e27c8f700f1fa7e536ab45d929cc2,1000000,0,0,0,0,268,0,0,0,500
3b799,1c3b799e9f5e2de705f6c540860e7449a0d8d08e1363b431dec747c4ec8cfcfe,0,0,0,0,0,265,0,0,0,500
aa8ea,68aa8ea122625502e2bd91076b7530dbb7c830b48f2f47bc3e8d683354884d3b,0,0,0,0,0,265,0,0,0,500
a3626,baa3626b8c235f5392d79a8160388c64a7e86fa7af8d5fc5ca2cd6b3b51d1604,0,0,0,0,0,265,0,0,0,500
e2474,3de24746d7db8db3a6ee11686819b4ed20e2f5fdb0f7cb1e387a907a2821d08e,13395900,0,13395900,0,31895,346,0,1,0,500
6451f,366451fb911462e2eac3a25b56b5907174a063b5cafa291a80afe6b78d622dd3,0,31895,0,0,31895,346,0,1,0,500
6aabd,926aabd88d0dd59c18fa52737a9c7fea389cbe0f032de9846bd9523e3202ad18,0,0,0,0,0,265,0,0,0,500
d5dc9,95d5dc9c1874a08e22d63a3e3105fc1973e227cf001a180179e1b1548330639d,0,0,0,0,0,265,0,0,0,500
d6506,0fd65068317d05ead003ce94be29023208c060071c9b4738a7990f6825798fc2,0,0,0,0,0,265,0,0,0,500
f3844,8cf384480b7707eb99ed27b17decf02bef786f23db726be4a5eae1d839954c43,0,0,0,0,0,265,0,0,0,500
eca6a,62eca6acf5738a22a4015a299bd65dd05b6701bb5bd6bd06d07542f0756eab63,0,0,0,0,0,265,0,0,0,500
60e18,7d60e18818c555bc75b96d789a21e72ae84225038b155b97d418502be2ab3370,0,0,0,0,0,265,0,0,0,500
f0b52,d3f0b52b358a26b1d9fd1de96a243e3756db059ade538b516a73492f464ed9d0,0,0,0,0,0,265,0,0,0,500
b4e1a,47b4e1a65a4d0977d92e01a59cc6a50b5329c8672853f74fed0116fbdc9721f1,27255900,0,27255900,0,64895,345,0,1,0,500
ad7ae,71ad7aead67abdc5422e0eef0c9a8831c2e9645784f5a4d442e70a8c8d32c28a,0,0,0,0,0,265,0,0,0,500
cee30,54cee306bd1d9d21304d27a32e0eee7b581947da7b2b17c94420c6c0212a707a,8576160,12297,8231160,0,31895,0,345000,1,345000,500
e4f2a,14e4f2a2ef8bc735bf8122e4908a7e164210c6a62eeaf9285c5d108c1cef0739,0,0,0,0,0,265,0,0,0,500
8559a,8c8559a25234c209103cac72c13e6d7227838b9b6ee1cca9bbc120df5abf32ff,378000,44228,0,0,44228,0,378000,1,378000,500
aa11b,1aaa11bac36b7dd7fe426d6f1ae4c707f8a866b2deeb7b153ea853a0657a0875,0,0,0,0,0,265,0,0,0,500
e5511,48e5511858fe6ffde4ddfe22f59064cde06288b78cfa370d609a7452bce53d04,0,0,0,0,0,265,0,0,0,500
1a8cd,1a1a8cdc2bdc3f7a260d1873e352720ecc51b028f009b24f7ea0fc52f417b709,0,0,0,0,0,265,0,0,0,500
c5a46,6ac5a465c848ec441165f754b05b51beecc7451f30457c739f98f4192a69f760,0,0,0,0,0,265,0,0,0,500
72a11,a872a11fcfd10c80424db4e50c3295e0a76f43bc9a35c26dc33d100be6264173,0,0,0,0,0,265,0,0,0,500
e3e2e,8fe3e2e6f844c76c2945820af128cb276d4df51b534c2fc5c3eb6569e1205418,0,0,0,0,0,265,0,0,0,500
727c3,6a727c3f37956f74257c7f9b830c11fdd88c69a55cb23e0e4b987325c9584d38,0,0,0,0,0,265,0,0,0,500
58d1e,0c58d1e6e4e0fc9638890db81088d7003cf097fdb15fe6e9f44a6f56c17690b3,0,0,0,0,0,265,0,0,0,500
8fef6,588fef6011e28c8f3a8d4100d42f2307204ad5881337aabdc0cd40461cf6927d,0,0,0,0,0,268,0,0,0,500
4ba1f,8f4ba1fee48fc73df900dd8d1fa54264a3d076227742c04881d442e21d4c1944,1000000,0,0,0,0,269,0,0,0,500
28393,c0283938e34b4116b4232f8770d1d06b789289a399537a2141affd5bc1e83f49,0,0,0,0,0,265,0,0,0,500
e8f39,14e8f39c610c031d9abf87644bc12451c75ae1443dc213d6c22dcd4b8c7008d4,0,0,0,0,0,265,0,0,0,500
d2393,d2d2393600e4f58d2defdbb8b78c8cc81351bf4883cae31f6470cbe3fab6aa72,0,0,0,0,0,265,0,0,0,500
f1af2,04f1af2e0564ea13d8cb1486a97cf5e0252492e4a8ca481d4f5df639ddba0312,0,0,0,0,0,265,0,0,0,500
da250,95da250a8c454192a50b9936736c9d40d7e4ada3d5c104b7c22a236612e1043c,0,0,0,0,0,268,0,0,0,500
32816,b732816544354e509331f1029203f1ab60b600758ab2f2f5402051008443ff42,0,0,0,0,0,265,0,0,0,500
0efc0,670efc0026ae4eba13b090a903693b3947c2a9e02e1860503659e7be79c9b262,0,0,0,0,0,280,0,0,0,500
7b784,117b7842af7bd2cf713c4d504ee34ad906ad2a0f2179098a722862a1e9e7738b,13395900,0,13395900,0,31895,345,0,1,0,500
bc91a,f0bc91ad5904fad3bafbef0c0ce08689a42e67c18a3ff2b6b3ff10f69aa5fbd6,27255900,0,27255900,0,64895,345,0,1,0,500
